TE_Name;TA_Name;Tour
Pascual Ferra R.;Roger Pascual Ferra;ATP
Petkovic M.;Mika Petkovic;ATP
Pieczonka F.;Filip Pieczonka;ATP
Pieri S.;Samuele Pieri;ATP
Radulov I.;Iliyan Radulov;ATP
Rapagnetta D.;Daniele Rapagnetta;ATP
Raquillet L.;Leo Raquillet;ATP
Rawat S.;Sidharth Rawat;ATP
Raynel A.;Amaury Raynel;ATP
Rejchtman Vinciguerra W.;William Rejchtman Vinciguerra;ATP
Reček D.;Dominik Recek;ATP
Ribeiro de Almeida G.;Gustavo Ribeiro De Almeida;ATP
Ribero F.;Franco Ribero;ATP
Rice K.;Keegan Rice;ATP
Rolland de Ravel C.;Cosme Rolland De Ravel;ATP
Ryan Ziegann S.;Sam Ryan Ziegann;ATP
Sahtali T.;Toufik Sahtali;ATP
Saitoh K.;Keisuke Saitoh;ATP
Sakellaridis D.;Dimitris Sakellaridis;ATP
Schiessl E.;Erik Schiessl;ATP
Sesko Z.;Ziga Sesko;ATP
Shebekin G.;Grigory Shebekin;ATP
Sheehy J.;Joshua Sheehy;ATP
Sickenberger T.;Tom Sickenberger;ATP
Sinclair C.;Colin Sinclair;ATP
Singh D.;Digvijaypratap Singh;ATP
Sinha N. K.;Nitin Kumar Sinha;ATP
Siniakov D.;Daniel Siniakov;ATP
Sorger S.;Sebastian Sorger;ATP
Stephenson E.;Eli Stephenson;ATP
Szymkowiak K.;Kacper Szymkowiak;ATP
Tamm K.;Kristjan Tamm;ATP
Tolev A.;Aleksandar Tolev;ATP
Torres J. B.;Juan Bautista Torres;ATP
Tseng C. H.;Chun Hsin Tseng;ATP
Tudorica A. N.;Alvin Nicholas Tudorica;ATP
Turker M. N.;Mert Naci Turker;ATP
Vales A.;Amit Vales;ATP
Vallejo D.;Adolfo Daniel Vallejo;ATP
Van Sambeek F.;Fons Van Sambeek;ATP
Vankan M.;Marlon Vankan;ATP
Vanshelboim E.;Eric Vanshelboim;ATP
Weber A.;Arthur Weber;ATP
Weightman O.;Oscar Weightman;ATP
Wolf J.J.;J J Wolf;ATP
Yilmaz K.;Kerem Yilmaz;ATP
Young G.;Gavin Young;ATP
Zhu M.;Michael Zhu;ATP
Zhukov M.;Maxim Zhukov;ATP
Alexander A.;Avery Alexander;WTA
Allegre C.;Camille Allegre;WTA
Balus I.;Irina Balus;WTA
Bojica S.;Stefania Bojica;WTA
Buchnik M.;Mika Buchnik;WTA
Charney P.;Piper Charney;WTA
Collins K.;Kylie Collins;WTA
Crossley M.;Mayu Crossley;WTA
Egorova D.;Daria Egorova;WTA
Fruhvirtová L.;Linda Fruhvirtova;WTA
Garcia-Perez G.;Georgina Garcia Perez;WTA
Ghirardato E. O.;Emma Ottavia Ghirardato;WTA
Gniewkowska O.;Oriana Gniewkowska;WTA
Gorska D.;Daria Gorska;WTA
Grubor A.;Ana Grubor;WTA
Hrunčáková V.;Viktoria Hruncakova;WTA
Hurkacz N.;Nika Hurkacz;WTA
Karunaratne A.;Adithya Karunaratne;WTA
Klimovičová L.;Linda Klimovicova;WTA
Mamedova E.;Edda Mamedova;WTA
Marton I.;Isabella Marton;WTA
McNally C.;Caty Mcnally;WTA
Meri E.;Eszter Meri;WTA
