TE_Name;TA_Name;Tour
Kolar Z.;Zdenek Kolar;ATP
Cretu C.;Cezar Cretu;ATP
Hussey G.;Giles Hussey;ATP
Poljicak M.;Mili Poljicak;ATP
Roncadelli F.;Franco Roncadelli;ATP
Brancaccio R.;Raul Brancaccio;ATP
Nedic A.;Andrej Nedic;ATP
Seyboth Wild T.;Thiago Seyboth Wild;ATP
Wild T.;Thiago Seyboth Wild;ATP
Gill F.;Felix Gill;ATP
Tarvet O.;Oliver Tarvet;ATP
Arnaud Bailly G.;Gilles Arnaud Bailly;ATP
Bailly G.;Gilles Arnaud Bailly;ATP
Chung H.;Hyeon Chung;ATP
Tu L.;Li Tu;ATP
Fatic N.;Nerman Fatic;ATP
Dostanic S.;Stefan Dostanic;ATP
Mochizuki S.;Shintaro Mochizuki;ATP
Glinka D.;Daniil Glinka;ATP
Nagal S.;Sumit Nagal;ATP
Svajda T.;Trevor Svajda;ATP
Ghibaudo A.;Antoine Ghibaudo;ATP
Mejia N.;Nicolas Mejia;ATP
Hardt N.;Nick Hardt;ATP
Da Silva J.;Joao Lucas Reis Da Silva;ATP
Lucas Reis Da Silva J.;Joao Lucas Reis Da Silva;ATP
Reis Da Silva J.;Joao Lucas Reis Da Silva;ATP
Silva J.;Joao Lucas Reis Da Silva;ATP
Ferreira Silva F.;Frederico Ferreira Silva;ATP
Silva F.;Frederico Ferreira Silva;ATP
Dalla Valle E.;Enrico Dalla Valle;ATP
Valle E.;Enrico Dalla Valle;ATP
Sweeny D.;Dane Sweeny;ATP
Alves F.;Felipe Meligeni Alves;ATP
Meligeni Alves F.;Felipe Meligeni Alves;ATP
Houkes M.;Max Houkes;ATP
Hans Rehberg M.;Max Hans Rehberg;ATP
Rehberg M.;Max Hans Rehberg;ATP
Tomic B.;Bernard Tomic;ATP
Bueno G.;Gonzalo Bueno;ATP
Gombos N.;Norbert Gombos;ATP
Zhou Y.;Yi Zhou;ATP
Martin A.;Andrej Martin;ATP
Boscardin Dias P.;Pedro Boscardin Dias;ATP
Dias P.;Pedro Boscardin Dias;ATP
Ajdukovic D.;Duje Ajdukovic;ATP
Brunold M.;Mika Brunold;ATP
Rottgering M.;Mees Rottgering;ATP
Batalla O.;Oriol Roca Batalla;ATP
Roca Batalla O.;Oriol Roca Batalla;ATP
Vasilev A.;Alexander Vasilev;ATP
Agamenone F.;Franco Agamenone;ATP
Uchiyama Y.;Yasutaka Uchiyama;ATP
Krueger M.;Mitchell Krueger;ATP
Albot R.;Radu Albot;ATP
Clarke J.;Jay Clarke;ATP
Topo M.;Marko Topo;ATP
Negritu C.;Christoph Negritu;ATP
Barranco Cosano J.;Javier Barranco Cosano;ATP
Cosano J.;Javier Barranco Cosano;ATP
Dodig M.;Matej Dodig;ATP
Zhukayev B.;Beibit Zhukayev;ATP
Lokoli L.;Laurent Lokoli;ATP
Rosenkranz M.;Mats Rosenkranz;ATP
Paulson A.;Andrew Paulson;ATP
Balshaw F.;Felix Balshaw;ATP
Loffhagen G.;George Loffhagen;ATP
Guillen Meza A.;Alvaro Guillen Meza;ATP
Meza A.;Alvaro Guillen Meza;ATP
Hassan B.;Benjamin Hassan;ATP
Hemery C.;Calvin Hemery;ATP
Coulibaly E.;Eliakim Coulibaly;ATP
Crawford O.;Oliver Crawford;ATP
Kuzmanov D.;Dimitar Kuzmanov;ATP
Shimizu Y.;Yuta Shimizu;ATP
Martinez A.;Alex Martinez;ATP
Ivan Justo G.;Guido Ivan Justo;ATP
Justo G.;Guido Ivan Justo;ATP
Monday J.;Johannus Monday;ATP
Soto M.;Matias Soto;ATP
Pavlovic L.;Luka Pavlovic;ATP
Peniston R.;Ryan Peniston;ATP
Pablo Varillas J.;Juan Pablo Varillas;ATP
Varillas J.;Juan Pablo Varillas;ATP
Marmousez L.;Lilian Marmousez;ATP
Krumich M.;Martin Krumich;ATP
Dhamne M.;Manas Dhamne;ATP
Escoffier A.;Antoine Escoffier;ATP
Fomin S.;Sergey Fomin;ATP
Bar Biryukov P.;Petr Bar Biryukov;ATP
Biryukov P.;Petr Bar Biryukov;ATP
Polmans M.;Marc Polmans;ATP
Winter E.;Edward Winter;ATP
Agustin Gomez F.;Federico Agustin Gomez;ATP
Gomez F.;Federico Agustin Gomez;ATP
La Serna J.;Juan Manuel La Serna;ATP
Manuel La Serna J.;Juan Manuel La Serna;ATP
Serna J.;Juan Manuel La Serna;ATP
Gakhov I.;Ivan Gakhov;ATP
Kozlov S.;Stefan Kozlov;ATP
Echargui M.;Moez Echargui;ATP
Donski A.;Alexander Donski;ATP
Broom C.;Charles Broom;ATP
Mena F.;Facundo Mena;ATP
Collarini A.;Andrea Collarini;ATP
Added D.;Dan Added;ATP
Jubb P.;Paul Jubb;ATP
Sharipov M.;Marat Sharipov;ATP
Giustino L.;Lorenzo Giustino;ATP
Ribecai M.;Michele Ribecai;ATP
Ficovich J.;Juan Pablo Ficovich;ATP
Pablo Ficovich J.;Juan Pablo Ficovich;ATP
Smith K.;Keegan Smith;ATP
Jung J.;Jason Jung;ATP
Damas M.;Miguel Damas;ATP
Michalski D.;Daniel Michalski;ATP
Ellis B.;Blake Ellis;ATP
Martineau M.;Matteo Martineau;ATP
Vatutin A.;Alexey Vatutin;ATP
Gueymard Wayenburg S.;Sascha Gueymard Wayenburg;ATP
Wayenburg S.;Sascha Gueymard Wayenburg;ATP
Cassone M.;Murphy Cassone;ATP
Ambrogi L.;Luciano Emanuel Ambrogi;ATP
Emanuel Ambrogi L.;Luciano Emanuel Ambrogi;ATP
Trotter J.;James Trotter;ATP
Masur D.;Daniel Masur;ATP
Miralles B.;Bernabe Zapata Miralles;ATP
Zapata Miralles B.;Bernabe Zapata Miralles;ATP
Habib H.;Hady Habib;ATP
Engel J.;Justin Engel;ATP
Alexander Rodriguez Rodriguez J.;Johan Alexander Rodriguez Rodriguez;ATP
Rodriguez J.;Johan Alexander Rodriguez Rodriguez;ATP
Rodriguez Rodriguez J.;Johan Alexander Rodriguez Rodriguez;ATP
Gengel M.;Marek Gengel;ATP
Bax F.;Florent Bax;ATP
Colson T.;Tibo Colson;ATP
Shelbayh A.;Abedallah Shelbayh;ATP
Blancaneaux G.;Geoffrey Blancaneaux;ATP
Lin Wu T.;Tung Lin Wu;ATP
Wu T.;Tung Lin Wu;ATP
Visker N.;Niels Visker;ATP
Almeida M.;Matheus Pucinelli De Almeida;ATP
De Almeida M.;Matheus Pucinelli De Almeida;ATP
Pucinelli De Almeida M.;Matheus Pucinelli De Almeida;ATP
Geerts M.;Michael Geerts;ATP
Kasnikowski M.;Maks Kasnikowski;ATP
Forti F.;Francesco Forti;ATP
Moeller M.;Marvin Moeller;ATP
Casanova H.;Hernan Casanova;ATP
Yevseyev D.;Denis Yevseyev;ATP
Bondioli F.;Federico Bondioli;ATP
Prihodko O.;Oleg Prihodko;ATP
Karol M.;Milos Karol;ATP
Gray A.;Alastair Gray;ATP
Sekulic P.;Philip Sekulic;ATP
Paul J.;Jakub Paul;ATP
Cristian Jianu F.;Filip Cristian Jianu;ATP
Jianu F.;Filip Cristian Jianu;ATP
Forejtek J.;Jonas Forejtek;ATP
Molleker R.;Rudolf Molleker;ATP
Popko D.;Dmitry Popko;ATP
Barrena A.;Alex Barrena;ATP
Erhard M.;Mathys Erhard;ATP
Shick B.;Braden Shick;ATP
