TE_Name;TA_Name;Tour
Bertrand R.;Robin Bertrand;ATP
Bicknell B.;Blaise Bicknell;ATP
Bigun K.;Kaylan Bigun;ATP
Binda A.;Alexandr Binda;ATP
Biryukov P.;Petr Bar Biryukov;ATP
Blancaneaux G.;Geoffrey Blancaneaux;ATP
Blanch D.;Darwin Blanch;ATP
Blanchet U.;Ugo Blanchet;ATP
Blockx A.;Alexander Blockx;ATP
Boitan G.;Gabi Adrian Boitan;ATP
Bolt A.;Alex Bolt;ATP
Bondioli F.;Federico Bondioli;ATP
Bonzi B.;Benjamin Bonzi;ATP
Borges N.;Nuno Borges;ATP
Boscardin Dias P.;Pedro Boscardin Dias;ATP
Boulais J.;Justin Boulais;ATP
Bouquier A.;Arthur Bouquier;ATP
Bouzige M.;Moerani Bouzige;ATP
Boyer T.;Tristan Boyer;ATP
Brancaccio R.;Raul Brancaccio;ATP
Broady L.;Liam Broady;ATP
Brooksby J.;Jenson Brooksby;ATP
Broom C.;Charles Broom;ATP
Brunclik P.;Petr Brunclik;ATP
Brunold M.;Mika Brunold;ATP
Bublik A.;Alexander Bublik;ATP
Budkov Kjaer N.;Nicolai Budkov Kjaer;ATP
Bueno G.;Gonzalo Bueno;ATP
Burruchaga R.;Roman Andres Burruchaga;ATP
Burruchaga R. A.;Roman Andres Burruchaga;ATP
Buse I.;Ignacio Buse;ATP
Busta P.;Pablo Carreno Busta;ATP
Butvilas E.;Edas Butvilas;ATP
Cadenasso G.;Gianluca Cadenasso;ATP
Callejon Hernando S.;Sergio Callejon Hernando;ATP
Canas A.;Alejandro Moro Canas;ATP
Caniato C.;Carlo Alberto Caniato;ATP
Caniato C. A.;Carlo Alberto Caniato;ATP
Carabelli C.;Camilo Ugo Carabelli;ATP
Carballes Baena R.;Roberto Carballes Baena;ATP
Carboni L.;Lorenzo Carboni;ATP
Cardozo J.;Joaquin  Aguilar Cardozo;ATP
Carlos Prado Angelo J.;Juan Carlos Prado Angelo;ATP
Carreno Busta P.;Pablo Carreno Busta;ATP
Carreno-Busta P.;Pablo Carreno Busta;ATP
Casanova H.;Hernan Casanova;ATP
Cassone M.;Murphy Cassone;ATP
Castelnuovo L.;Luca Castelnuovo;ATP
Cazaux A.;Arthur Cazaux;ATP
Cecchinato M.;Marco Cecchinato;ATP
Cerundolo F.;Francisco Cerundolo;ATP
Cerundolo J.;Juan Manuel Cerundolo;ATP
Cerundolo J. M.;Juan Manuel Cerundolo;ATP
Chidekh C.;Clement Chidekh;ATP
Choinski J.;Jan Choinski;ATP
Chung H.;Hyeon Chung;ATP
Cilic M.;Marin Cilic;ATP
Cina F.;Federico Cina;ATP
Clarke J.;Jay Clarke;ATP
Cobolli F.;Flavio Cobolli;ATP
Collarini A.;Andrea Collarini;ATP
Collignon R.;Raphael Collignon;ATP
Colson T.;Tibo Colson;ATP
Comesana F.;Francisco Comesana;ATP
Compagnucci T.;Tommaso Compagnucci;ATP
Coppejans K.;Kimmer Coppejans;ATP
Coria F.;Federico Coria;ATP
Cosano J.;Javier Barranco Cosano;ATP
Coulibaly E.;Eliakim Coulibaly;ATP
Crawford O.;Oliver Crawford;ATP
Cretu C.;Cezar Cretu;ATP
Cristian Jianu F.;Filip Cristian Jianu;ATP
Cui J.;Jie Cui;ATP
Curbelo I.;Ivan Marrero Curbelo;ATP
Da Silva D.;Daniel Dutra Da Silva;ATP
Da Silva J.;Joao Lucas Reis Da Silva;ATP
Dalla Valle E.;Enrico Dalla Valle;ATP
Damas M.;Miguel Damas;ATP
Damina Ayeni O.;Olukayode Alafia Damina Ayeni;ATP
Damm M.;Martin Damm;ATP
Daniel T.;Taro Daniel;ATP
Daniel Vallejo A.;Adolfo Daniel Vallejo;ATP
Darderi L.;Luciano Darderi;ATP
Davidovich Fokina A.;Alejandro Davidovich Fokina;ATP
De Almeida M.;Matheus Pucinelli De Almeida;ATP
De Jong J.;Jesper De Jong;ATP
De La Fuente S.;Santiago De La Fuente;ATP
De La Torre I.;Inaki Montes De La Torre;ATP
De Minaur A.;Alex De Minaur;ATP
De Zandschulp B.;Botic Van De Zandschulp;ATP
Dedura D.;Diego Dedura Palomero;ATP
Dedura Palomero D.;Diego Dedura Palomero;ATP
Del Pino C.;Conner Huertas Del Pino;ATP
Delaney J.;Jake Delaney;ATP
Dellien H.;Hugo Dellien;ATP
Dellien Velasco M.;Murkel Alejandro Dellien Velasco;ATP
Den Ouden G.;Guy Den Ouden;ATP
Denolly C.;Corentin Denolly;ATP
Dhamne M.;Manas Dhamne;ATP
Diallo G.;Gabriel Diallo;ATP
Dias P.;Pedro Boscardin Dias;ATP
Diaz Acosta F.;Facundo Diaz Acosta;ATP
Dickerson R.;Ryan Dickerson;ATP
Dimitrov G.;Grigor Dimitrov;ATP
Djere L.;Laslo Djere;ATP
Djokovic N.;Novak Djokovic;ATP
Dodig M.;Matej Dodig;ATP
Donski A.;Alexander Donski;ATP
Dos Santos P.;Paulo Andre Saraiva Dos Santos;ATP
Dostanic S.;Stefan Dostanic;ATP
Draper J.;Jack Draper;ATP
Draxl L.;Liam Draxl;ATP
Droguet T.;Titouan Droguet;ATP
Duckworth J.;James Duckworth;ATP
Durasovic V.;Viktor Durasovic;ATP
Dutra Da Silva D.;Daniel Dutra Da Silva;ATP
Dylan Hara Friend J.;Jay Dylan Hara Friend;ATP
Dzumhur D.;Damir Dzumhur;ATP
Echargui M.;Moez Echargui;ATP
Eduardo Schiessl J.;Joao Eduardo Schiessl;ATP
Elahi Galan D.;Daniel Elahi Galan;ATP
Ellis B.;Blake Ellis;ATP
Emanuel Ambrogi L.;Luciano Emanuel Ambrogi;ATP
Emil Overbeck C.;Carl Emil Overbeck;ATP
Engel J.;Justin Engel;ATP
Erhard M.;Mathys Erhard;ATP
Escoffier A.;Antoine Escoffier;ATP
Estevez J.;Juan Estevez;ATP
Etcheverry T.;Tomas Martin Etcheverry;ATP
Etcheverry T. M.;Tomas Martin Etcheverry;ATP
Eubanks C.;Christopher Eubanks;ATP
Evans D.;Daniel Evans;ATP
Fa Rodriguez Taverna S.;Santiago Fa Rodriguez Taverna;ATP
Faria J.;Jaime Faria;ATP
Fatic N.;Nerman Fatic;ATP
Faurel T.;Thomas Faurel;ATP
Fearnley J.;Jacob Fearnley;ATP
Feldbausch K.;Kilian Feldbausch;ATP
Fellin P.;Pietro Fellin;ATP
Fenty A.;Andrew Fenty;ATP
Fernandez B.;Bruno Fernandez;ATP
Ferreira Silva F.;Frederico Ferreira Silva;ATP
Fery A.;Arthur Fery;ATP
Ficovich J.;Juan Pablo Ficovich;ATP
Fils A.;Arthur Fils;ATP
Fokina A.;Alejandro Davidovich Fokina;ATP
Fomin S.;Sergey Fomin;ATP
Fonseca J.;Joao Fonseca;ATP
Forejtek J.;Jonas Forejtek;ATP
Forti F.;Francesco Forti;ATP
Friend J.;Jay Dylan Hara Friend;ATP
Fritz T.;Taylor Fritz;ATP
Fucsovics M.;Marton Fucsovics;ATP
Fuente S.;Santiago De La Fuente;ATP
Gadamauri B.;Buvaysar Gadamauri;ATP
Gakhov I.;Ivan Gakhov;ATP
Galan D.;Daniel Elahi Galan;ATP
Galarneau A.;Alexis Galarneau;ATP
Garin C.;Cristian Garin;ATP
Gaston H.;Hugo Gaston;ATP
Gaubas V.;Vilius Gaubas;ATP
Gea A.;Arthur Gea;ATP
Geerts M.;Michael Geerts;ATP
Gengel M.;Marek Gengel;ATP
Gentzsch T.;Tom Gentzsch;ATP
Ghibaudo A.;Antoine Ghibaudo;ATP
Gigante M.;Matteo Gigante;ATP
Gill F.;Felix Gill;ATP
Gima S.;Sebastian Gima;ATP
